experiment,dataset,pca_components,variance_retained,kernel,C,gamma,degree,test_accuracy,training_time_ms,n_support_vectors
MNIST_PCA150_poly_C1_g0.01_d2,MNIST,150,80.00833,poly,1.0,0.01,2.0,97.66,33020.00403404236,9002
MNIST_PCA150_poly_C1_g0.01_d3,MNIST,150,80.00833,poly,1.0,0.01,3.0,97.69,43622.17664718628,10725
MNIST_PCA150_poly_C1_g0.01_d4,MNIST,150,80.00833,poly,1.0,0.01,4.0,96.84,66402.07862854004,12796
MNIST_PCA150_poly_C10_gscale_d2,MNIST,150,80.00833,poly,10.0,scale,2.0,97.82,34661.03219985962,9663
MNIST_PCA150_poly_C10_gscale_d3,MNIST,150,80.00833,poly,10.0,scale,3.0,97.72,47311.98072433472,11607
MNIST_PCA150_poly_C10_gscale_d4,MNIST,150,80.00833,poly,10.0,scale,4.0,96.33,111684.77034568787,15226
MNIST_PCA150_poly_C10_gauto_d2,MNIST,150,80.00833,poly,10.0,auto,2.0,97.38,48216.90917015076,8913
MNIST_PCA150_poly_C10_gauto_d3,MNIST,150,80.00833,poly,10.0,auto,3.0,97.69,65060.89925765991,10733
MNIST_PCA150_poly_C10_gauto_d4,MNIST,150,80.00833,poly,10.0,auto,4.0,96.82,98043.93768310547,12796
MNIST_PCA150_poly_C10_g0.001_d2,MNIST,150,80.00833,poly,10.0,0.001,2.0,97.71,66745.86701393127,11091
MNIST_PCA150_poly_C10_g0.001_d3,MNIST,150,80.00833,poly,10.0,0.001,3.0,97.02,98739.92276191711,15181
MNIST_PCA150_poly_C10_g0.001_d4,MNIST,150,80.00833,poly,10.0,0.001,4.0,92.67,185220.17884254456,24675
MNIST_PCA150_poly_C10_g0.01_d2,MNIST,150,80.00833,poly,10.0,0.01,2.0,97.31,43708.63890647888,8862
MNIST_PCA150_poly_C10_g0.01_d3,MNIST,150,80.00833,poly,10.0,0.01,3.0,97.68,59419.11745071411,10741
MNIST_PCA150_poly_C10_g0.01_d4,MNIST,150,80.00833,poly,10.0,0.01,4.0,96.82,92738.90447616577,12796
