experiment,dataset,model,batch_size,optimizer,learning_rate,pin_memory,epochs,test_acc,best_val_acc,final_train_acc,training_time_sec
FashionMNIST_ResNet-50_BS16_Adam_LR0.001_PMFalse_EP2,FashionMNIST,ResNet-50,16,Adam,0.001,False,2,83.35,83.1,80.7795918367347,222.74080395698547
FashionMNIST_ResNet-50_BS16_Adam_LR0.001_PMFalse_EP5,FashionMNIST,ResNet-50,16,Adam,0.001,False,5,88.00714285714285,88.2,86.60816326530612,541.9954113960266
FashionMNIST_ResNet-50_BS16_Adam_LR0.001_PMTrue_EP2,FashionMNIST,ResNet-50,16,Adam,0.001,True,2,80.33571428571429,80.31428571428572,80.46326530612245,198.11072182655334
FashionMNIST_ResNet-50_BS16_Adam_LR0.001_PMTrue_EP5,FashionMNIST,ResNet-50,16,Adam,0.001,True,5,88.21428571428571,88.15714285714286,86.71428571428571,486.3835790157318
FashionMNIST_ResNet-50_BS16_Adam_LR0.0001_PMFalse_EP2,FashionMNIST,ResNet-50,16,Adam,0.0001,False,2,85.95714285714286,85.95714285714286,85.28979591836735,224.27968621253967
FashionMNIST_ResNet-50_BS16_Adam_LR0.0001_PMFalse_EP5,FashionMNIST,ResNet-50,16,Adam,0.0001,False,5,90.7,90.44285714285714,89.78163265306122,541.7256758213043
FashionMNIST_ResNet-50_BS16_Adam_LR0.0001_PMTrue_EP2,FashionMNIST,ResNet-50,16,Adam,0.0001,True,2,88.02857142857142,88.47142857142858,85.44081632653061,198.9772229194641
FashionMNIST_ResNet-50_BS16_Adam_LR0.0001_PMTrue_EP5,FashionMNIST,ResNet-50,16,Adam,0.0001,True,5,89.93571428571428,89.78571428571429,89.81632653061224,483.58105850219727
FashionMNIST_ResNet-50_BS32_SGD_LR0.001_PMFalse_EP2,FashionMNIST,ResNet-50,32,SGD,0.001,False,2,82.77857142857142,83.01428571428572,77.96938775510205,173.97597408294678
FashionMNIST_ResNet-50_BS32_SGD_LR0.001_PMFalse_EP5,FashionMNIST,ResNet-50,32,SGD,0.001,False,5,87.26428571428572,87.44285714285714,87.30408163265307,421.8139066696167
FashionMNIST_ResNet-50_BS32_SGD_LR0.001_PMTrue_EP2,FashionMNIST,ResNet-50,32,SGD,0.001,True,2,83.55,83.62857142857143,78.2591836734694,153.019366979599
FashionMNIST_ResNet-50_BS32_SGD_LR0.001_PMTrue_EP5,FashionMNIST,ResNet-50,32,SGD,0.001,True,5,88.06428571428572,87.9,87.21224489795918,372.6916027069092
FashionMNIST_ResNet-50_BS32_SGD_LR0.0001_PMFalse_EP2,FashionMNIST,ResNet-50,32,SGD,0.0001,False,2,63.3,64.5,57.63265306122449,175.05373907089233
FashionMNIST_ResNet-50_BS32_SGD_LR0.0001_PMFalse_EP5,FashionMNIST,ResNet-50,32,SGD,0.0001,False,5,73.20714285714286,74.14285714285714,70.49183673469388,424.1742639541626
FashionMNIST_ResNet-50_BS32_SGD_LR0.0001_PMTrue_EP2,FashionMNIST,ResNet-50,32,SGD,0.0001,True,2,63.885714285714286,64.88571428571429,57.7530612244898,153.44297623634338
FashionMNIST_ResNet-50_BS32_SGD_LR0.0001_PMTrue_EP5,FashionMNIST,ResNet-50,32,SGD,0.0001,True,5,74.21428571428571,75.32857142857142,70.9,372.4374189376831
FashionMNIST_ResNet-50_BS32_Adam_LR0.001_PMFalse_EP2,FashionMNIST,ResNet-50,32,Adam,0.001,False,2,83.72142857142858,83.72857142857143,83.00408163265305,179.78658819198608
FashionMNIST_ResNet-50_BS32_Adam_LR0.001_PMFalse_EP5,FashionMNIST,ResNet-50,32,Adam,0.001,False,5,87.50714285714285,87.34285714285714,86.88979591836734,433.4921865463257
FashionMNIST_ResNet-50_BS32_Adam_LR0.001_PMTrue_EP2,FashionMNIST,ResNet-50,32,Adam,0.001,True,2,83.81428571428572,83.81428571428572,82.58775510204082,158.5727379322052
FashionMNIST_ResNet-50_BS32_Adam_LR0.001_PMTrue_EP5,FashionMNIST,ResNet-50,32,Adam,0.001,True,5,88.31428571428572,88.07142857142857,86.91836734693878,385.3301544189453
FashionMNIST_ResNet-50_BS32_Adam_LR0.0001_PMFalse_EP2,FashionMNIST,ResNet-50,32,Adam,0.0001,False,2,87.05714285714286,87.34285714285714,85.43877551020408,178.51183772087097
FashionMNIST_ResNet-50_BS32_Adam_LR0.0001_PMFalse_EP5,FashionMNIST,ResNet-50,32,Adam,0.0001,False,5,91.35,91.27142857142857,89.79795918367347,434.13118863105774
FashionMNIST_ResNet-50_BS32_Adam_LR0.0001_PMTrue_EP2,FashionMNIST,ResNet-50,32,Adam,0.0001,True,2,86.58571428571429,86.65714285714286,85.14897959183673,159.04986381530762
FashionMNIST_ResNet-50_BS32_Adam_LR0.0001_PMTrue_EP5,FashionMNIST,ResNet-50,32,Adam,0.0001,True,5,91.25714285714285,90.81428571428572,90.14693877551021,387.52039766311646
